dataset,layer,PAM,QAM,SAM
sharegpt,3,0.5058014996730807,0.023439637428485625,0.12673868359067428
sharegpt,4,0.5045120358946874,0.021707775097686892,0.15054260328333563
sharegpt,5,0.49699337462317833,0.02329159809058486,0.18316328908837354
sharegpt,6,0.4815011106459706,0.043377320937409106,0.20662608249883554
sharegpt,7,0.47506701253763767,0.043238970521501455,0.22761195537254658
sharegpt,8,0.43494382706844725,0.052239505952587875,0.28534669379146316
sharegpt,9,0.41086422234851244,0.05387329133647557,0.33050822042930644
sharegpt,10,0.3634335160551762,0.0632917177536311,0.39680306633432116
sharegpt,11,0.3935669327814442,0.07612666171667115,0.3431322135364815
sharegpt,12,0.3826354593867577,0.0620599025166698,0.37459931851922057
sharegpt,13,0.38506702027128387,0.06058738548151413,0.3721536116879151
sharegpt,14,0.3639420698993049,0.08235144306951442,0.38790444566179894
sharegpt,15,0.3838454491430611,0.06392489400242209,0.3710018373910288
sharegpt,16,0.4123861967642425,0.05606412639420369,0.33635084111191454
sharegpt,17,0.4312112901366852,0.05725612274941892,0.2829942733278034
sharegpt,18,0.47748760814129404,0.04021604194173278,0.22730165102962707
sharegpt,19,0.48214974254369736,0.041840263776784715,0.22095542032167775
sharegpt,20,0.4628009684454424,0.052379531113732614,0.21649791974371538
sharegpt,21,0.5100565248161949,0.04284134190679238,0.1575116963617113
sharegpt,22,0.511853054074119,0.04197188985365542,0.16816956518585247
sharegpt,23,0.5303831875296028,0.03421646230002683,0.1612818257254372
sharegpt,24,0.5021000710019673,0.047968369139407614,0.1892598304875719
sharegpt,25,0.5441344966053624,0.03591689454248643,0.1440890238681084
sharegpt,26,0.502604397382432,0.046918328811777814,0.2054135956939607
sharegpt,27,0.5583319924101515,0.02732952907169306,0.16187552999318458
sharegpt,28,0.5481199952279867,0.035556028681347905,0.17929714254227513
sharegpt,29,0.4946570289868043,0.0498124530651029,0.24757262956452245
sharegpt,30,0.5750743681564927,0.03222670959680606,0.19066951342238375
sharegpt,31,0.38460442860004507,0.1004587994546758,0.4873374465755522
