dataset,layer,head,pearson_PAM,pearson_QAM,pearson_SAM,spearman_PAM,spearman_QAM,spearman_SAM
alpaca,0,0,0.23410131699125714,-0.22693229063087905,0.057725008721423825,0.27066598098038336,-0.2571326819313642,-0.06766649524509584
alpaca,0,1,0.2745941865830893,0.0858724564730825,-0.28934047446135003,0.27066598098038336,0.09473309334313418,-0.2977325790784217
alpaca,0,10,0.2770856734211218,-0.2708208883609819,-0.0005329671687107909,0.32479917717646,-0.32479917717646,0.013533299049019166
alpaca,0,11,0.22950020404264762,-0.205119689614989,-0.05136702653926902,0.28419928002940253,-0.2977325790784217,-0.02706659809803833
alpaca,0,12,0.2553124513920946,-0.24255339482195826,0.0039991940274168095,0.32479917717646,-0.27066598098038336,-0.02706659809803833
alpaca,0,13,0.2532387981392289,-0.23746717690291047,0.017249515101741983,0.32479917717646,-0.32479917717646,0.02706659809803833
alpaca,0,14,0.15129442345796718,-0.17674985056250486,0.24304513993543028,0.2977325790784217,-0.35186577527449836,0.18946618668626836
alpaca,0,15,0.2595276641034781,-0.25359777746855977,0.08994222819247671,0.2977325790784217,-0.2977325790784217,0.081199794294115
alpaca,0,16,0.3219908305371928,-0.27448734900785043,-0.12450289966057228,0.36539907432351754,-0.32479917717646,-0.06766649524509584
alpaca,0,17,0.26252598225698137,-0.26242268598574287,0.009307804403563566,0.2571326819313642,-0.2571326819313642,0.02706659809803833
alpaca,0,18,0.28513174142544406,-0.28523315619854445,0.2400561116808872,0.28419928002940253,-0.28419928002940253,0.20299948573528753
alpaca,0,19,0.24860516782018535,-0.24024322503962894,-0.008360841347670782,0.2977325790784217,-0.28419928002940253,0.0
alpaca,0,2,0.24049443622263839,-0.23073123289648811,0.10158954354426043,0.36539907432351754,-0.31126587812744083,0.13533299049019168
alpaca,0,20,0.26736385389307504,-0.09455711527129033,-0.04775077586026268,0.4465988686176325,-0.31126587812744083,-0.0405998971470575
alpaca,0,21,0.28091539046815484,-0.2726497586954922,0.033013727932222556,0.35186577527449836,-0.33833247622547924,0.02706659809803833
alpaca,0,22,0.3097562193712449,-0.25712758553441845,-0.075867660660398,0.3789323733725367,-0.33833247622547924,-0.06766649524509584
alpaca,0,23,0.316782949352714,-0.14691526544911684,-0.4227883166356012,0.32479917717646,-0.18946618668626836,-0.17593288763724918
alpaca,0,24,0.2813195321950953,-0.26222012137057943,0.013547268577479451,0.31126587812744083,-0.27066598098038336,0.02706659809803833
alpaca,0,25,0.254866895114398,-0.25291582797675444,0.17870733237164954,0.23006608383332589,-0.243599382882345,0.13533299049019168
alpaca,0,26,0.2763247013942749,-0.2705268071934457,-0.06570095428699112,0.31126587812744083,-0.31126587812744083,-0.1217996914411725
alpaca,0,27,0.28057111005042407,-0.21782385819686645,-0.02970797124925646,0.32479917717646,-0.32479917717646,-0.0405998971470575
alpaca,0,28,0.2761368800119323,-0.2833009587509912,0.27552080215270314,0.28419928002940253,-0.2977325790784217,0.20299948573528753
alpaca,0,29,0.2609490819271978,-0.2600154513799265,0.0937975810374925,0.28419928002940253,-0.28419928002940253,0.09473309334313418
alpaca,0,3,0.27932022304755966,-0.2637296633786133,0.01914936870320673,0.32479917717646,-0.32479917717646,0.02706659809803833
alpaca,0,30,0.27998950874281736,-0.23713350244334824,-0.05299767257369516,0.32479917717646,-0.2571326819313642,-0.0405998971470575
alpaca,0,31,0.3018037111752751,-0.3009396103799231,-0.13513912691275085,0.3789323733725367,-0.3789323733725367,-0.05413319619607666
alpaca,0,4,0.3209952841279323,-0.3147172819700511,-0.018158319774675157,0.35186577527449836,-0.35186577527449836,0.0405998971470575
alpaca,0,5,0.2647685949721987,-0.2435047093327071,9.203525596498992e-05,0.32479917717646,-0.32479917717646,0.0
alpaca,0,6,0.2813526405632661,-0.27576478154193473,0.05432833929687351,0.33833247622547924,-0.33833247622547924,0.02706659809803833
alpaca,0,7,0.2701461599321369,-0.24688541659850738,-0.008058097445253572,0.35186577527449836,-0.28419928002940253,0.013533299049019166
alpaca,0,8,0.23565636725184577,-0.23833512819831282,0.3400998638935603,0.20299948573528753,-0.243599382882345,0.27066598098038336
alpaca,0,9,0.22303190103250814,-0.2126281590875421,-0.16734447411572356,0.243599382882345,-0.243599382882345,0.0
alpaca,0,avg,0.27835016270849366,-0.2553838634523955,-0.037118604402818375,0.35186577527449836,-0.32479917717646,-0.013533299049019166
alpaca,1,0,0.2959089754951126,-0.2958567453137236,0.27320634650085185,0.48719876576469,-0.36539907432351754,0.243599382882345
alpaca,1,1,0.2636206622724507,-0.2520300772254577,-0.049704094062267605,0.32479917717646,-0.32479917717646,-0.02706659809803833
alpaca,1,10,0.2658665220674251,-0.27206045150451474,0.040476853891413804,0.28419928002940253,-0.2977325790784217,0.0405998971470575
alpaca,1,11,0.30335299133743626,-0.28388641033993206,-0.04831453650350839,0.33833247622547924,-0.33833247622547924,-0.081199794294115
alpaca,1,12,0.2407178223685101,-0.23437968203019452,0.010071420202967696,0.32479917717646,-0.32479917717646,-0.013533299049019166
alpaca,1,13,0.30797324343071714,-0.2829533027041595,-0.01107398259242663,0.36539907432351754,-0.35186577527449836,0.0
alpaca,1,14,0.28678485650820207,-0.27788997001319116,0.05556473449802497,0.33833247622547924,-0.33833247622547924,0.081199794294115
alpaca,1,15,0.31027344324646183,-0.2511450661199919,-0.14211912457192089,0.3789323733725367,-0.32479917717646,-0.081199794294115
alpaca,1,16,0.2800985619796153,-0.24918532582108227,-0.09058825195435476,0.33833247622547924,-0.32479917717646,-0.06766649524509584
alpaca,1,17,0.2499044559463738,-0.2363873343304741,-0.18042081000760626,0.23006608383332589,-0.23006608383332589,-0.14886628953921086
alpaca,1,18,0.23244543391365186,-0.22141499938646364,-0.18110271502785397,0.32479917717646,-0.32479917717646,-0.081199794294115
alpaca,1,19,0.32412573758729524,-0.2657336488264307,-0.06508045844083593,0.2977325790784217,-0.2571326819313642,-0.0405998971470575
alpaca,1,2,0.2607163111146276,-0.26074970141149767,-0.14079660758071322,0.2571326819313642,-0.2571326819313642,-0.09473309334313418
alpaca,1,20,0.2640405781329241,-0.24671717280167454,-0.09491013220945048,0.32479917717646,-0.32479917717646,-0.06766649524509584
alpaca,1,21,0.25892182320665685,-0.24963070238436444,-0.05098818709940983,0.32479917717646,-0.32479917717646,-0.013533299049019166
alpaca,1,22,0.27311959860884466,-0.2404155939166053,0.15751100018431724,0.28419928002940253,-0.1217996914411725,0.09473309334313418
alpaca,1,23,0.24470608810631697,-0.23363755417855053,-0.18119975790662515,0.2977325790784217,-0.2977325790784217,-0.18946618668626836
alpaca,1,24,0.28556609420770007,-0.2513534138316762,-0.11226711987487605,0.35186577527449836,-0.32479917717646,-0.0405998971470575
alpaca,1,25,0.3479632899129861,-0.32938326331570034,-0.046066765930339,0.36539907432351754,-0.33833247622547924,0.013533299049019166
alpaca,1,26,0.20785032761900676,-0.213923033957175,0.22106416946213098,0.21653278478430665,-0.21653278478430665,0.17593288763724918
alpaca,1,27,0.2679254196674295,-0.24126433086435542,0.006577956936563084,0.2977325790784217,-0.2571326819313642,0.0
alpaca,1,28,0.284545690336758,-0.24880722525193172,-0.09904823743330558,0.33833247622547924,-0.32479917717646,-0.06766649524509584
alpaca,1,29,0.28315281253307917,-0.26864895569819736,-0.006096273373444245,0.35186577527449836,-0.35186577527449836,-0.0405998971470575
alpaca,1,3,0.2690564276721747,-0.2539840525945695,-0.12161949481189213,0.32479917717646,-0.32479917717646,-0.05413319619607666
alpaca,1,30,0.22532081108074845,-0.22635677753269837,0.11183529933706246,0.2977325790784217,-0.2977325790784217,0.0405998971470575
alpaca,1,31,0.27278068689907037,-0.2671479762582734,0.04347054586998351,0.32479917717646,-0.32479917717646,0.06766649524509584
