dataset,layer,head,PAM,QAM,SAM
alpaca,2,24,0.8427611756324768,0.08026099380105733,0.06373429905623197
alpaca,2,25,0.9202595150470734,0.07323899834416807,0.0032910833647474646
alpaca,2,26,0.9520134335756302,0.03683695673476905,0.006803058956284076
alpaca,2,27,0.7987657499313354,0.17698938874527811,0.017009071563370524
alpaca,2,28,0.9009978860616684,0.06563718773424626,0.01871945537161082
alpaca,2,29,0.8729425191879272,0.087975560054183,0.02811811175197363
alpaca,2,3,0.9568438816070557,0.0303400001488626,0.007993412339128553
alpaca,2,30,0.8721342021226883,0.0669776701182127,0.05148450668901205
alpaca,2,31,0.39771640464663505,0.3105319130420685,0.22420682810246945
alpaca,2,4,0.7343183022737503,0.15665299825370313,0.01736639873124659
alpaca,2,5,0.8597085696458816,0.09666739972308278,0.03504864133894443
alpaca,2,6,0.936509964466095,0.04431068172678351,0.009687070965301246
alpaca,2,7,0.9390282583236694,0.045947356633841994,0.010467349453829228
alpaca,2,8,0.9182646048069,0.05202404595911503,0.02319366840645671
alpaca,2,9,0.9736320561170578,0.023123311959207058,0.0018862320762127638
alpaca,3,0,0.8331077942252159,0.10753383707255125,0.01743367054499686
alpaca,3,1,0.8812869802117348,0.10431277834810317,0.006956561279948801
alpaca,3,10,0.9253376048803329,0.04694154398515821,0.019230910213664174
alpaca,3,11,0.964577968120575,0.023870135238394142,0.007042834651656449
alpaca,3,12,0.9446584963798523,0.0403444002289325,0.011207350571639836
alpaca,3,13,0.7628949826955795,0.12723504275083541,0.09557299896143377
alpaca,3,14,0.9511579793691635,0.039064096799120304,0.0071063457964919505
alpaca,3,15,0.8870225584506989,0.0583416759967804,0.04595341033302248
alpaca,3,16,0.9612455064058304,0.022777596060186624,0.010949926734901964
alpaca,3,17,0.9568729043006897,0.034949446823447944,0.002958163022994995
alpaca,3,18,0.9395995116233826,0.03140081628225744,0.008170190585078672
alpaca,3,19,0.5595334456861019,0.18738313522189856,0.21367354676127434
alpaca,3,2,0.9026682305335999,0.04595142785459757,0.041211035940796135
alpaca,3,20,0.975559715628624,0.01769810459110886,0.004836427833652124
alpaca,3,21,0.9822007513046265,0.01146599224768579,0.00322708327206783
alpaca,3,22,0.937773333787918,0.04305444261059165,0.013343169903382659
alpaca,3,23,0.9508802878856659,0.03948947634547949,0.006118083156179637
alpaca,3,24,0.9368838477134704,0.0425062907487154,0.015246009035035969
alpaca,3,25,0.968043594956398,0.028926851890282705,0.0013778830113005825
alpaca,3,26,0.9653511828184128,0.028962355361436494,0.0006643023528158664
alpaca,3,27,0.9572498267889022,0.0358873429056257,0.003646905416389927
alpaca,3,28,0.9268139588832855,0.04137791397050023,0.010427787874359638
alpaca,3,29,0.8845362836122512,0.1066707283211872,0.00480556524824351
alpaca,3,3,0.8352686244249344,0.13633887181058527,0.020201274710707366
alpaca,3,30,0.9381376141309739,0.045488342633470895,0.011714863157831133
alpaca,3,31,0.9551513123512269,0.023119488389929756,0.011586153710086365
alpaca,3,4,0.964601833820343,0.02545008766464889,0.00457849278463982
alpaca,3,5,0.9747431164979935,0.019750641202554108,0.003998307501897216
alpaca,3,6,0.9585583198070526,0.032770431148819626,0.005891748695867136
alpaca,3,7,0.9388045704364777,0.04053598511964083,0.01132763768080622
alpaca,3,8,0.9466703063249589,0.04957180439727381,0.0019419260055292397
alpaca,3,9,0.9020513719320298,0.09137830223888159,0.003839793828083202
alpaca,4,0,0.8376600748300552,0.1021144501492381,0.04887502674013376
alpaca,4,1,0.8956652849912643,0.0558604129217565,0.019077080676797777
alpaca,4,10,0.9803914415836334,0.013346131304278969,0.003307323749177158
alpaca,4,11,0.9587581658363342,0.033543333294801414,0.0042980122641893105
alpaca,4,12,0.9223099464178085,0.036691035702824594,0.018483943953178823
alpaca,4,13,0.8221956111490727,0.16858930490445345,0.0059354116476606576
alpaca,4,14,0.7675896593928337,0.19553213830105962,0.012558874571695924
alpaca,4,15,0.9683920234441757,0.02846736477105878,0.002181614264845848
alpaca,4,16,0.9182206761837005,0.04830194848123938,0.012243988479021937
alpaca,4,17,0.685159378349781,0.2394334003329277,0.05436630008742213
alpaca,4,18,0.9290372985601425,0.061944554825313386,0.006615856804419309
alpaca,4,19,0.8973022598028183,0.07146057412028313,0.021423599448753522
alpaca,4,2,0.9437428730726242,0.03759261258179322,0.004264201399637386
alpaca,4,20,0.8789399981498718,0.09407642920035869,0.01268060056027025
alpaca,4,21,0.8177110268175602,0.17463506899774076,0.004327607943851035
alpaca,4,22,0.8655507850646973,0.12723027699277736,0.004427059704903513
alpaca,4,23,0.9435114949941635,0.04926353795221075,0.0049480706139001995
alpaca,4,24,0.9756059461832046,0.021288349360111168,0.001977578726946376
alpaca,4,25,0.9238962161540986,0.07287283777608536,0.0023923006511176936
alpaca,4,26,0.9226494038105011,0.04185004132799804,0.018389546307735146
alpaca,4,27,0.8841543716192245,0.09045054643414914,0.016997017266694458
alpaca,4,28,0.936641196012497,0.05560984836192802,0.004955601771362126
alpaca,4,29,0.9516075271368026,0.04586027545738034,0.0014691308070905506
alpaca,4,3,0.8586076515913009,0.0673279182985425,0.06304739337414503
alpaca,4,30,0.9390263718366623,0.058748508149874396,0.001338858479866758
alpaca,4,31,0.9562205022573471,0.04173058513464639,0.0009894919209182263
alpaca,4,4,0.8139338505268097,0.09865074794739485,0.06675099438056349
alpaca,4,5,0.8850722002983094,0.067490159496665,0.01900166740640998
alpaca,4,6,0.967223197221756,0.028440919928252695,0.0023511697087087668
alpaca,4,7,0.933962173461914,0.042275831438601016,0.015161303314380347
alpaca,4,8,0.8402167302370072,0.07948711125180125,0.03801371707580983
alpaca,4,9,0.7621831400692463,0.18297524058260023,0.023139837668277322
alpaca,5,0,0.8195193672180175,0.1262849210947752,0.026749060596339403
alpaca,5,1,0.9330527943372726,0.054934237205889073,0.0029194051492959262
alpaca,5,10,0.9734452837705612,0.01647033989895135,0.003841862631961703
alpaca,5,11,0.5816946280747652,0.3728576945327222,0.021221457133069634
alpaca,5,12,0.9466855520009995,0.0412500530667603,0.005640704507241026
alpaca,5,13,0.8430953526496887,0.07276376234833151,0.008062390093691647
alpaca,5,14,0.9590630304813385,0.03955581379821524,0.0006890805548755452
alpaca,5,15,0.0352550622948911,0.8642837160825729,0.09951399353332818
alpaca,5,16,0.9570756375789642,0.025167006338015198,0.013364653160097077
alpaca,5,17,0.9680055344104767,0.02136434433516115,0.006653882348909974
alpaca,5,18,0.9664582896232605,0.030573872765526176,0.0020971301385725384
alpaca,5,19,0.9798540169000626,0.018670810064068063,0.001017830541204603
alpaca,5,2,0.9097887855768204,0.04970391845330596,0.016183984496165066
alpaca,5,20,0.9434174877405167,0.03433509211521596,0.006908712945878506
alpaca,5,21,0.8662156641483307,0.07230672748759388,0.04575884947553277
alpaca,5,22,0.867726403772831,0.1265287591679953,0.00380019366304623
alpaca,5,23,0.965382713675499,0.026356884590350092,0.004491447614273056
alpaca,5,24,0.9008732008934021,0.09415542772272602,0.003944710739451693
alpaca,5,25,0.8674801117181778,0.07847885068506003,0.020057841674424707
alpaca,5,26,0.978171865940094,0.013615759452804924,0.0033722920366562902
alpaca,5,27,0.9384822553396225,0.037827770980075004,0.012886412129737436
alpaca,5,28,0.9115021616220474,0.06128862951882184,0.0198276354232803
alpaca,5,29,0.9036370426416397,0.0392307277652435,0.004137867616373114
alpaca,5,3,0.6711127784848213,0.09407698653638363,0.17138591650873422
alpaca,5,30,0.7534587953984737,0.22864673969335855,0.009189018417382613
alpaca,5,31,0.9546040552854538,0.042741266496595924,0.0011674555158242583
alpaca,5,4,0.9655330127477646,0.01832788101863116,0.00779504664358683
alpaca,5,5,0.8737638860940933,0.0970740057528019,0.014587763091549277
alpaca,5,6,0.9740243226289749,0.019669281136011706,0.001302899365691701
alpaca,5,7,0.9552562201023101,0.03907942881400231,0.002816464019997511
alpaca,5,8,0.9260272967815399,0.05932483971584588,0.00405701616051374
alpaca,5,9,0.981613985300064,0.015045961601426825,0.0016003314837871585
alpaca,6,0,0.6575148007273675,0.19345496594905853,0.12341263826936483
alpaca,6,1,0.8818871289491653,0.07935905506834388,0.020873187041142955
alpaca,6,10,0.9125724679231644,0.08107454131823033,0.004019958503486123
alpaca,6,11,0.8440441435575485,0.12942693032498936,0.02183345895376988
alpaca,6,12,0.8544430720806122,0.0642929596407339,0.031912083183415235
alpaca,6,13,0.9001464807987213,0.03817024050746113,0.017321197553537785
alpaca,6,14,0.6270791348814965,0.1424580230563879,0.21894398239441215
alpaca,6,15,0.9608554828166962,0.034115994384046645,0.0017722845592652448
alpaca,6,16,0.9941175180673599,0.003558226480843132,0.0021865990247806623
alpaca,6,17,0.9002735462784767,0.050976234152913094,0.01644515757448971
alpaca,6,18,0.959133368730545,0.021802824665792288,0.003297857002762612
